Defeat( stefan , noah rubin )
Defeat( cornet , sharapova )
Defeat( errani , roberta vinci )
Defeat( roge , novak djokovic )
Defeat( shuai peng http://t.co/kprikfrpth , peng )
Defeat( murray , ned )
Defeat( kliz , martin kliz )
Defeat( kanepi , jelena jankovic )
Defeat( http://t.co/nr3d7pn3px , roger http://t.co/nr3d7pn3px )
Defeat( kvitova , eugenie )
Defeat( bouchard , genie bouchard )
Defeat( hlavackova , jie zheng )
Defeat( nadal , sharapova )
Defeat( stosur , sam stosur )
Defeat( naomi , naomi broady )
Defeat( pospisil , federer )
Defeat( aliz cornet http://t.co/isi1awzjit , http://t.co/isi1awzjit )
Defeat( and , simona halep )
Defeat( laver , chuck mckinley )
Defeat( nedovyesov , aleksandr nedovyesov )
Defeat( murray , roberto bautista agut )
Defeat( kevin curren , nadal )
Defeat( gasquet , nick krygios )
Defeat( safarova , eugenie bouchard )
Defeat( nadal , tim howard )
Defeat( whang , tsonga )
Defeat( radek stepanek , s )
Defeat( rafael http://t.co/hrmysxbfue , nadal )
Defeat( kv , petra kv )
Defeat( bacsinszky , timea bacsinszky )
Defeat( hartley , john hartley )
Defeat( konta , cox )
Defeat( nick kyrgios http://t.co/1vylyzachv , http://t.co/1vylyzachv )
Defeat( fellapartova , kvitova )
Defeat( gonzalez , alejandro gonzalez )
Defeat( bouchard , marketwatch http://t.co/xlgikybu3z )
Defeat( tsurenko , bencic )
Defeat( wilander , mcenroe )
Defeat( aliz cornet http://t.co/eutb82aw8b , http://t.co/eutb82aw8b )
Defeat( henin , justine henin )
Defeat( rosol , toni nadal )
Defeat( serena williams , murray )
Defeat( sharapova , nadal )
Defeat( serena williams , matos )
Defeat( chan hao-ching , chan )
Defeat( olga , olga govortsova )
Defeat( cibulkova , dominika cibulkova )
Defeat( jim co , co )
Defeat( rafael nadal , kyrgios )
Defeat( zimonjic , nestor )
Defeat( riath , chardy )
Defeat( tomljano , ajla tomljano )
Defeat( puetz , tim puetz )
Defeat( kvitova , venus williams )
Defeat( raonic , nadal )
Defeat( tiafoe , kozlov )
Defeat( nick kyrgios , robert )
Defeat( petra kvitova http://t.co/fqwbddgrd4 , bouchard )
Defeat( sock , bob bryan )
Defeat( aliz cornet , willi )
Defeat( sam stosur , zimonjic )
Defeat( farah , darija jurak )
Defeat( jerzy janowicz , hewitt )
Defeat( pospisil , mike bryan )
Defeat( camila , camila giorgi )
Defeat( garcia , errani )
Defeat( aliz cornet http://t.co/rxvundf1ck , http://t.co/rxvundf1ck )
Defeat( giraldo , roger federer )
Defeat( makarova , agnieszka radwanska )
Defeat( aliz cornet http://t.co/cnnhm9lfxn , http://t.co/cnnhm9lfxn )
Defeat( konjuh , yanina wickmayer )
Defeat( nick , nick kyrgios )
Defeat( to , messi )
Defeat( petra , bouchard )
Defeat( yanina wickmeyer , wickmeyer )
Defeat( simon , roberto bautista agut )
Defeat( robin haase , pospisil )
Defeat( dimitrov , grigor dimitrov )
Defeat( sharapova , maria sharapova )
Defeat( hanika , sukova )
Defeat( rosol , lukas rosol )
Defeat( anderson , murray )
Defeat( raonic , novak djokovic )
Defeat( alize corne , corne )
Defeat( riske , alison riske )
Defeat( stakhovsky , ernests gulbis )
Defeat( andy murray , dimitrov )
Defeat( federer , robredo )
Defeat( muller , rosol )
Defeat( djokovic , and )
Defeat( federer , stanislas wawrinka )
Defeat( bouchard , petra kvitov )
Defeat( andrey kumantsov , kumantsov )
Defeat( raonic , nick kyrgios )
Defeat( marin , marin cilic sofiao )
Defeat( kvitova , eugenie bouchard b )
Defeat( andy , kevin anderson )
Defeat( konjuh , marina erakovic )
Defeat( djokivic , murray )
Defeat( djokovi , roger federer )
Defeat( matosevic , fernando verdasco )
Defeat( caroline , caroline wozniacki )
Defeat( torro-flor , virginia wade )
Defeat( zhang , shuai zhang )
Defeat( aliz cornet http://t.co/zaelscq7pu , http://t.co/zaelscq7pu )
Defeat( murray , novaks )
Defeat( angelique kerber http://t.co/mosxsuvmjw , http://t.co/mosxsuvmjw )
Defeat( agut , bautista agut )
Defeat( safarova , martha kelner )
Defeat( maria sharapova , nadal )
Defeat( simon , andy murra )
Defeat( federer , sampras )
Defeat( david , david goffin )
Defeat( shvedova , kristyna pliskova )
Defeat( kirilenko , a )
Defeat( alison , alison riske )
Defeat( borg , mcenroe )
Defeat( andy murray , dmitrov )
Defeat( limited , grigor dimitrov limited )
Defeat( milos raonic vani , federer )
Defeat( andy murray , fognini )
Defeat( and , simona ha )
Defeat( aliz cornet http://t.co/0l0njtwfqu , http://t.co/0l0njtwfqu )
Defeat( rosol , heather watson )
Defeat( gulbis , ernests gulbis )
Defeat( vesely , rafa nadal )
Defeat( petra kvitova , kvitova )
Defeat( richar , richard gasquet )
Defeat( feder , rodger feder )
Defeat( urszula , urszula radwanska )
Defeat( skysportsgolf poulter , silverstone )
Defeat( baghdatis , mayer )
Defeat( darcis , rafael nadal )
Defeat( henin , justin henin )
Defeat( shuai peng http://t.co/cthxwyxjy5 , http://t.co/cthxwyxjy5 )
Defeat( monica , monica puig )
Defeat( rafal , nick )
Defeat( golubev , andrey golubev )
Defeat( lu , wawrinka )
Defeat( robson , watson )
Defeat( cornet , serena williams )
Defeat( williams , anna tatishvili )
Defeat( scheepers , serena )
Defeat( williams , mara )
Defeat( djokovic , evans )
Defeat( federer , djokovic )
Defeat( cuevas , pablo cuevas )
Defeat( federer , akeelkela hamilton )
Defeat( devvarman , somdev devvarman )
Defeat( djokovic , stepanek )
Defeat( lorenzi , roger federer )
Defeat( jac , bryan )
Defeat( mu , grigor dimitrov )
Defeat( e , petra kvitova )
Defeat( sugita , jap )
Defeat( istom , denis istom )
Defeat( murray , peroni )
Defeat( jerzy , rusty )
Defeat( murray , g dimitrov )
Defeat( bernard tomic , to )
Defeat( fabio fognini , fognini )
Defeat( li , halep )
Defeat( murray , rola )
Defeat( lisicki , schevdova )
Defeat( simona , simona halep )
Defeat( nick kyrgios http://t.co/fyzfzjea9b , http://t.co/fyzfzjea9b )
Defeat( kyrgios , milos raonic )
Defeat( federer , dijovic )
Defeat( nad , serena williams )
Defeat( nadal , dustin brown )
Defeat( sock , jack sock sofiaorde )
Defeat( wawrinka , murray )
Defeat( strycova , date-krumm/zahlavova strycova )
Defeat( murray , maria )
Defeat( zimonjic , sam stosur )
Defeat( andy , fognini )
Defeat( wang , mikhail youzhny )
Defeat( mauresmo , dimitrov )
Defeat( aliz cornet http://t.co/2dcqrwblqo , http://t.co/2dcqrwblqo )
Defeat( eugen , petra kvitova )
Defeat( angelique kerber http://t.co/0jdfvap49u , http://t.co/0jdfvap49u )
Defeat( johnson , steve johnson )
Defeat( makarova , misaki doi )
Defeat( brown , goran ivanisevic )
Defeat( federer , hill )
Defeat( grigor dimitrov , grigor )
Defeat( novak , potro )
Defeat( halep , sabine lisicki )
Defeat( melzer , jurgen melzer )
Defeat( dimitrov , andy murray )
Defeat( nadal , arjun )
Defeat( federer , reyt )
Defeat( mona , mona barthel )
Defeat( djokovic , venus wil )
Defeat( alisa , alisa kleybanova )
Defeat( venuseswilliams , maria-teresa torro-flor )
Defeat( barker , murray )
Defeat( raon , milos raon )
